연대,단어,품사,언어,빈도수
1960s,하루,ko_nouns,ko,2
1960s,거리,ko_nouns,ko,25
1960s,사람,ko_nouns,ko,84
1960s,물결,ko_nouns,ko,8
1960s,하늘,ko_nouns,ko,26
1960s,별,ko_nouns,ko,19
1960s,가로등,ko_nouns,ko,4
1960s,꽃,ko_nouns,ko,90
1960s,피,ko_nouns,ko,15
1960s,허공,ko_nouns,ko,4
1960s,바람,ko_nouns,ko,18
1960s,차고,ko_nouns,ko,2
1960s,마음,ko_nouns,ko,114
1960s,애드베룬,ko_nouns,ko,2
1960s,발길,ko_nouns,ko,8
1960s,인사,ko_nouns,ko,2
1960s,내일,ko_nouns,ko,7
1960s,다시,ko_nouns,ko,35
1960s,조기,ko_nouns,ko,1
1960s,담뿍,ko_nouns,ko,1
1960s,폭,ko_nouns,ko,2
1960s,배,ko_nouns,ko,4
1960s,수평선,ko_nouns,ko,6
1960s,이름,ko_nouns,ko,21
1960s,갈매기,ko_nouns,ko,3
1960s,눈물,ko_nouns,ko,45
1960s,연평도,ko_nouns,ko,2
1960s,태풍,ko_nouns,ko,1
1960s,사라,ko_nouns,ko,1
1960s,호,ko_nouns,ko,1
1960s,황천,ko_nouns,ko,1
1960s,얼굴,ko_nouns,ko,27
1960s,보리,ko_nouns,ko,3
1960s,해저,ko_nouns,ko,1
1960s,문,ko_nouns,ko,1
1960s,사장,ko_nouns,ko,10
1960s,모습,ko_nouns,ko,12
1960s,등대,ko_nouns,ko,1
1960s,불만,ko_nouns,ko,1
1960s,깜박,ko_nouns,ko,1
1960s,절,ko_nouns,ko,8
1960s,임,ko_nouns,ko,8
1960s,사랑,ko_nouns,ko,223
1960s,참고,ko_nouns,ko,1
1960s,애,ko_nouns,ko,11
1960s,가슴,ko_nouns,ko,74
1960s,잘못,ko_nouns,ko,5
1960s,처럼,ko_nouns,ko,2
1960s,밤,ko_nouns,ko,52
1960s,꿈,ko_nouns,ko,36
1960s,다정,ko_nouns,ko,1
1960s,가슴속,ko_nouns,ko,10
1960s,간직,ko_nouns,ko,4
1960s,못난이,ko_nouns,ko,1
1960s,헤일,ko_nouns,ko,1
1960s,아픔,ko_nouns,ko,1
1960s,동백아가씨,ko_nouns,ko,2
1960s,그리움,ko_nouns,ko,17
1960s,꽃잎,ko_nouns,ko,14
1960s,멍,ko_nouns,ko,3
1960s,동백꽃,ko_nouns,ko,4
1960s,잎,ko_nouns,ko,14
1960s,사연,ko_nouns,ko,10
1960s,안고,ko_nouns,ko,7
1960s,오늘,ko_nouns,ko,11
1960s,가신,ko_nouns,ko,2
1960s,자리,ko_nouns,ko,2
1960s,둘이서,ko_nouns,ko,3
1960s,순간,ko_nouns,ko,6
1960s,달빛,ko_nouns,ko,2
1960s,채,ko_nouns,ko,3
1960s,비,ko_nouns,ko,14
1960s,두고두고,ko_nouns,ko,1
1960s,다한,ko_nouns,ko,5
1960s,가오리,ko_nouns,ko,1
1960s,달래,ko_nouns,ko,4
1960s,가오,ko_nouns,ko,1
1960s,항구,ko_nouns,ko,9
1960s,번지,ko_nouns,ko,4
1960s,부기우기,ko_nouns,ko,10
1960s,그라스,ko_nouns,ko,2
1960s,아가씨,ko_nouns,ko,39
1960s,고동,ko_nouns,ko,2
1960s,울면,ko_nouns,ko,2
1960s,이별,ko_nouns,ko,4
1960s,달이,ko_nouns,ko,7
1960s,기전,ko_nouns,ko,7
1960s,이슬,ko_nouns,ko,8
1960s,마도,ko_nouns,ko,11
1960s,로스,ko_nouns,ko,11
1960s,인심,ko_nouns,ko,2
1960s,므나,ko_nouns,ko,1
1960s,가야,ko_nouns,ko,4
1960s,정열,ko_nouns,ko,4
1960s,한숨,ko_nouns,ko,4
1960s,뒷골목,ko_nouns,ko,1
1960s,누비,ko_nouns,ko,1
1960s,단,ko_nouns,ko,3
1960s,목숨,ko_nouns,ko,3
1960s,자식,ko_nouns,ko,3
1960s,욕,ko_nouns,ko,3
1960s,그대,ko_nouns,ko,52
1960s,태양,ko_nouns,ko,5
1960s,우러러,ko_nouns,ko,1
1960s,사나이,ko_nouns,ko,14
1960s,외,ko_nouns,ko,5
1960s,하늘만,ko_nouns,ko,1
1960s,맨발,ko_nouns,ko,1
1960s,한길,ko_nouns,ko,1
1960s,상처,ko_nouns,ko,7
1960s,홀로,ko_nouns,ko,19
1960s,생전,ko_nouns,ko,2
1960s,처음,ko_nouns,ko,3
1960s,순정,ko_nouns,ko,14
1960s,천국,ko_nouns,ko,3
1960s,옆,ko_nouns,ko,2
1960s,피어,ko_nouns,ko,4
1960s,나리,ko_nouns,ko,7
1960s,고요한,ko_nouns,ko,4
1960s,밤하늘,ko_nouns,ko,4
1960s,파도,ko_nouns,ko,11
1960s,소리,ko_nouns,ko,29
1960s,물새,ko_nouns,ko,4
1960s,울음소리,ko_nouns,ko,2
1960s,슬픔,ko_nouns,ko,8
1960s,주네,ko_nouns,ko,2
1960s,밀짚모자,ko_nouns,ko,1
1960s,포플,ko_nouns,ko,1
1960s,그늘,ko_nouns,ko,3
1960s,떼,ko_nouns,ko,3
1960s,목장,ko_nouns,ko,3
1960s,연분홍,ko_nouns,ko,3
1960s,빛,ko_nouns,ko,4
1960s,입술,ko_nouns,ko,5
1960s,웃음,ko_nouns,ko,6
1960s,푸른,ko_nouns,ko,11
1960s,라라라,ko_nouns,ko,2
1960s,라라라라,ko_nouns,ko,6
1960s,음음음음,ko_nouns,ko,1
1960s,눈,ko_nouns,ko,23
1960s,감고,ko_nouns,ko,3
1960s,허황,ko_nouns,ko,2
1960s,빗속,ko_nouns,ko,2
1960s,여인,ko_nouns,ko,16
1960s,지금,ko_nouns,ko,13
1960s,어데,ko_nouns,ko,8
1960s,레인코트,ko_nouns,ko,1
1960s,눈동자,ko_nouns,ko,10
1960s,미소,ko_nouns,ko,5
1960s,며,ko_nouns,ko,2
1960s,우산,ko_nouns,ko,3
1960s,빗방울,ko_nouns,ko,2
1960s,빗,ko_nouns,ko,3
1960s,솔솔,ko_nouns,ko,2
1960s,솔,ko_nouns,ko,2
1960s,오솔길,ko_nouns,ko,1
1960s,구두,ko_nouns,ko,7
1960s,똑똑,ko_nouns,ko,2
1960s,똑,ko_nouns,ko,2
1960s,가시,ko_nouns,ko,3
1960s,한번,ko_nouns,ko,17
1960s,뒤,ko_nouns,ko,5
1960s,볼,ko_nouns,ko,3
1960s,발걸음,ko_nouns,ko,1
1960s,밤밤,ko_nouns,ko,1
1960s,밤길,ko_nouns,ko,3
1960s,종소리,ko_nouns,ko,1
1960s,소쩍새,ko_nouns,ko,1
1960s,고간,ko_nouns,ko,2
1960s,나비,ko_nouns,ko,2
1960s,두꺼비,ko_nouns,ko,1
1960s,잠,ko_nouns,ko,4
1960s,하품,ko_nouns,ko,1
1960s,집,ko_nouns,ko,6
1960s,고양,ko_nouns,ko,1
1960s,아랫목,ko_nouns,ko,1
1960s,차지,ko_nouns,ko,2
1960s,겨울,ko_nouns,ko,8
1960s,봄,ko_nouns,ko,8
1960s,나들이,ko_nouns,ko,1
1960s,핑계,ko_nouns,ko,2
1960s,나물,ko_nouns,ko,1
1960s,간다,ko_nouns,ko,5
1960s,거울,ko_nouns,ko,2
1960s,한나절,ko_nouns,ko,2
1960s,간,ko_nouns,ko,10
1960s,주,ko_nouns,ko,6
1960s,중,ko_nouns,ko,10
1960s,쓰름,ko_nouns,ko,2
1960s,쓰르라미,ko_nouns,ko,1
1960s,개구리,ko_nouns,ko,1
1960s,합창,ko_nouns,ko,1
1960s,멋쟁이,ko_nouns,ko,5
1960s,제비,ko_nouns,ko,1
1960s,도망,ko_nouns,ko,1
1960s,송아진,ko_nouns,ko,1
1960s,낮잠,ko_nouns,ko,1
1960s,여름,ko_nouns,ko,6
1960s,동네,ko_nouns,ko,2
1960s,총각,ko_nouns,ko,11
1960s,밭갈이,ko_nouns,ko,3
1960s,장기,ko_nouns,ko,1
1960s,가을,ko_nouns,ko,15
1960s,물방아,ko_nouns,ko,2
1960s,돌리지,ko_nouns,ko,3
1960s,순이,ko_nouns,ko,1
1960s,잔칫날,ko_nouns,ko,1
1960s,닥,ko_nouns,ko,1
1960s,떡방아,ko_nouns,ko,1
1960s,물바,ko_nouns,ko,1
1960s,지붕,ko_nouns,ko,1
1960s,새,ko_nouns,ko,20
1960s,방아,ko_nouns,ko,1
1960s,맥,ko_nouns,ko,1
1960s,마을,ko_nouns,ko,6
1960s,무역,ko_nouns,ko,1
1960s,선,ko_nouns,ko,6
1960s,고가,ko_nouns,ko,3
1960s,부산,ko_nouns,ko,4
1960s,부두,ko_nouns,ko,4
1960s,죄,ko_nouns,ko,2
1960s,야속트,ko_nouns,ko,1
1960s,기적,ko_nouns,ko,2
1960s,울,ko_nouns,ko,13
1960s,뱃머리,ko_nouns,ko,3
1960s,아메리카,ko_nouns,ko,2
1960s,술,ko_nouns,ko,3
1960s,취한,ko_nouns,ko,1
1960s,무정트,ko_nouns,ko,1
1960s,깃발,ko_nouns,ko,1
1960s,테프,ko_nouns,ko,1
1960s,곳,ko_nouns,ko,11
1960s,벗,ko_nouns,ko,2
1960s,사려,ko_nouns,ko,1
1960s,미련,ko_nouns,ko,13
1960s,때문,ko_nouns,ko,7
1960s,몸부림,ko_nouns,ko,4
1960s,치,ko_nouns,ko,1
1960s,님,ko_nouns,ko,36
1960s,목,ko_nouns,ko,8
1960s,궂은비,ko_nouns,ko,4
1960s,염,ko_nouns,ko,1
1960s,영등포,ko_nouns,ko,5
1960s,불길,ko_nouns,ko,3
1960s,적막,ko_nouns,ko,1
1960s,추억,ko_nouns,ko,13
1960s,불빛,ko_nouns,ko,3
1960s,하룻밤,ko_nouns,ko,1
1960s,뱃길,ko_nouns,ko,3
1960s,오건,ko_nouns,ko,1
1960s,이국,ko_nouns,ko,3
1960s,땅,ko_nouns,ko,4
1960s,서러움,ko_nouns,ko,2
1960s,현해탄,ko_nouns,ko,2
1960s,달,ko_nouns,ko,12
1960s,문틈,ko_nouns,ko,1
1960s,어머님,ko_nouns,ko,6
1960s,수륙,ko_nouns,ko,2
1960s,만리,ko_nouns,ko,5
1960s,고국,ko_nouns,ko,1
1960s,이건,ko_nouns,ko,1
1960s,머리,ko_nouns,ko,2
1960s,항,ko_nouns,ko,1
1960s,누가,ko_nouns,ko,15
1960s,멀리,ko_nouns,ko,12
1960s,연기,ko_nouns,ko,1
1960s,벌판,ko_nouns,ko,4
1960s,지평선,ko_nouns,ko,4
1960s,노을,ko_nouns,ko,3
1960s,목동,ko_nouns,ko,2
1960s,그림,ko_nouns,ko,2
1960s,움,ko_nouns,ko,4
1960s,뭉,ko_nouns,ko,1
1960s,구름,ko_nouns,ko,13
1960s,저편,ko_nouns,ko,1
1960s,산,ko_nouns,ko,10
1960s,기러기,ko_nouns,ko,6
1960s,언덕길,ko_nouns,ko,1
1960s,초생달,ko_nouns,ko,1
1960s,뿌리,ko_nouns,ko,3
1960s,피리,ko_nouns,ko,2
1960s,노래,ko_nouns,ko,16
1960s,메아리,ko_nouns,ko,4
1960s,뭉게,ko_nouns,ko,1
1960s,편,ko_nouns,ko,1
1960s,내뿜는,ko_nouns,ko,1
1960s,담배,ko_nouns,ko,1
1960s,진고,ko_nouns,ko,2
1960s,신사,ko_nouns,ko,6
1960s,헝크,ko_nouns,ko,1
1960s,러진,ko_nouns,ko,1
